entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
32,37,2024-05-21 11:15:00,2024-05-22 10:15:00,SHORT,22904.28,23446.88,-0.02469,0,IS
81,86,2024-05-31 12:15:00,2024-06-03 11:15:00,SHORT,23669.3,23616.53,0.00123,1,IS
92,97,2024-06-04 11:15:00,2024-06-05 10:15:00,SHORT,23875.18,24320.68,-0.01966,0,IS
97,102,2024-06-05 10:15:00,2024-06-06 09:15:00,SHORT,24320.68,24616.46,-0.01316,0,IS
102,107,2024-06-06 09:15:00,2024-06-06 14:15:00,SHORT,24616.46,24525.51,0.00269,1,IS
149,154,2024-06-17 14:15:00,2024-06-18 13:15:00,SHORT,24740.81,24726.98,-0.00044,0,IS
166,171,2024-06-20 13:15:00,2024-06-21 12:15:00,SHORT,24872.45,25026.69,-0.0072,0,IS
171,176,2024-06-21 12:15:00,2024-06-24 11:15:00,SHORT,25026.69,24923.1,0.00314,1,IS
291,296,2024-07-19 12:15:00,2024-07-22 11:15:00,SHORT,23611.99,23916.42,-0.01389,0,IS
308,313,2024-07-24 11:15:00,2024-07-25 10:15:00,SHORT,24139.26,24535.09,-0.0174,0,IS
313,318,2024-07-25 10:15:00,2024-07-26 09:15:00,SHORT,24535.09,24736.78,-0.00922,0,IS
340,345,2024-07-31 13:15:00,2024-08-01 12:15:00,SHORT,25071.02,25232.13,-0.00743,0,IS
348,353,2024-08-02 09:15:00,2024-08-02 14:15:00,SHORT,25630.74,25641.92,-0.00144,0,IS
360,365,2024-08-06 09:15:00,2024-08-06 14:15:00,SHORT,25973.12,25679.18,0.01032,1,IS
379,384,2024-08-09 10:15:00,2024-08-12 09:15:00,SHORT,26142.74,26296.98,-0.0069,0,IS
444,449,2024-08-26 09:15:00,2024-08-26 14:15:00,SHORT,25363.59,25965.11,-0.02472,0,IS
449,454,2024-08-26 14:15:00,2024-08-27 13:15:00,SHORT,25965.11,26589.16,-0.02503,0,IS
454,459,2024-08-27 13:15:00,2024-08-28 12:15:00,SHORT,26589.16,26273.7,0.01086,1,IS
634,639,2024-10-08 13:15:00,2024-10-09 12:15:00,SHORT,24056.12,24456.03,-0.01762,0,IS
639,644,2024-10-09 12:15:00,2024-10-10 11:15:00,SHORT,24456.03,24319.17,0.0046,1,IS
693,698,2024-10-22 12:15:00,2024-10-23 11:15:00,SHORT,23087.45,22988.8,0.00327,1,IS
712,717,2024-10-25 13:15:00,2024-10-28 12:15:00,SHORT,23243.31,22991.53,0.00983,1,IS
733,738,2024-10-31 10:15:00,2024-11-01 09:15:00,SHORT,23314.45,23772.32,-0.02064,0,IS
738,743,2024-11-01 09:15:00,2024-11-01 14:15:00,SHORT,23772.32,23644.0,0.0044,1,IS
802,807,2024-11-15 13:15:00,2024-11-18 12:15:00,SHORT,23583.21,23418.63,0.00598,1,IS
821,826,2024-11-20 14:15:00,2024-11-21 13:15:00,SHORT,23963.02,23876.14,0.00263,1,IS
873,878,2024-12-03 12:15:00,2024-12-04 11:15:00,SHORT,24032.21,24677.18,-0.02784,0,IS
878,883,2024-12-04 11:15:00,2024-12-05 10:15:00,SHORT,24677.18,25136.16,-0.0196,0,IS
883,888,2024-12-05 10:15:00,2024-12-06 09:15:00,SHORT,25136.16,25473.42,-0.01442,0,IS
1051,1056,2025-01-14 10:15:00,2025-01-15 09:15:00,SHORT,23436.03,23499.28,-0.0037,0,OOS
1165,1170,2025-02-10 10:15:00,2025-02-11 09:15:00,SHORT,22522.87,23051.68,-0.02448,0,OOS
1173,1178,2025-02-11 12:15:00,2025-02-12 11:15:00,SHORT,23551.06,23883.46,-0.01511,0,OOS
1240,1245,2025-02-26 13:15:00,2025-02-27 12:15:00,SHORT,23081.64,23298.56,-0.0104,0,OOS
1245,1250,2025-02-27 12:15:00,2025-02-28 11:15:00,SHORT,23298.56,23398.37,-0.00528,0,OOS
1252,1257,2025-02-28 13:15:00,2025-03-03 12:15:00,SHORT,23578.7,23338.75,0.00918,1,OOS
1274,1279,2025-03-06 11:15:00,2025-03-07 10:15:00,SHORT,23747.84,24214.72,-0.02066,0,OOS
1342,1347,2025-03-21 13:15:00,2025-03-24 12:15:00,SHORT,24548.65,24066.23,0.01865,1,OOS
1485,1490,2025-04-24 12:15:00,2025-04-25 11:15:00,SHORT,23692.21,23786.01,-0.00496,0,OOS
1499,1504,2025-04-28 14:15:00,2025-04-29 13:15:00,SHORT,24088.72,24923.42,-0.03565,0,OOS
