entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
84,89,2025-02-17 09:15:00,2025-02-17 11:45:00,LONG,22983.01,22987.56,-0.0008,0,IS
132,137,2025-02-21 09:15:00,2025-02-21 11:45:00,LONG,22974.95,22885.74,-0.00488,0,IS
137,142,2025-02-21 11:45:00,2025-02-21 14:15:00,LONG,22885.74,22793.87,-0.00501,0,IS
142,147,2025-02-21 14:15:00,2025-02-24 10:45:00,LONG,22793.87,22649.94,-0.00731,0,IS
198,203,2025-02-28 12:15:00,2025-02-28 14:45:00,LONG,23064.2,23519.0,0.01872,1,IS
231,236,2025-03-05 10:45:00,2025-03-05 13:15:00,LONG,23454.27,23416.28,-0.00262,0,IS
236,241,2025-03-05 13:15:00,2025-03-06 09:45:00,LONG,23416.28,23555.03,0.00493,1,IS
348,353,2025-03-19 09:15:00,2025-03-19 11:45:00,LONG,23171.77,23410.93,0.00932,1,IS
591,596,2025-04-16 10:45:00,2025-04-16 13:15:00,LONG,23479.95,23159.74,-0.01464,0,OOS
596,601,2025-04-16 13:15:00,2025-04-17 09:45:00,LONG,23159.74,22830.85,-0.0152,0,OOS
643,648,2025-04-22 12:45:00,2025-04-23 09:15:00,LONG,23215.94,23310.63,0.00308,1,OOS
