entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
230,235,2024-07-05 11:15:00,2024-07-08 10:15:00,LONG,23748.78,23430.54,-0.0144,0,IS
328,333,2024-07-29 13:15:00,2024-07-30 12:15:00,LONG,24243.76,24276.42,0.00035,1,IS
392,397,2024-08-13 11:15:00,2024-08-14 10:15:00,LONG,25701.38,25512.98,-0.00833,0,IS
550,555,2024-09-18 13:15:00,2024-09-19 12:15:00,LONG,24917.09,24563.31,-0.0152,0,IS
924,929,2024-12-16 09:15:00,2024-12-16 14:15:00,LONG,24473.4,24538.99,0.00168,1,IS
961,966,2024-12-24 10:15:00,2024-12-25 09:15:00,LONG,23171.68,22805.38,-0.01681,0,IS
1086,1091,2025-01-22 09:15:00,2025-01-22 14:15:00,LONG,22549.42,22348.26,-0.00992,0,OOS
1091,1096,2025-01-22 14:15:00,2025-01-23 13:15:00,LONG,22348.26,22508.33,0.00616,1,OOS
1130,1135,2025-01-31 11:15:00,2025-02-03 10:15:00,LONG,22469.39,22235.59,-0.01141,0,OOS
1218,1223,2025-02-21 09:15:00,2025-02-21 14:15:00,LONG,22958.35,22774.94,-0.00899,0,OOS
1223,1228,2025-02-21 14:15:00,2025-02-24 13:15:00,LONG,22774.94,22662.72,-0.00593,0,OOS
1297,1302,2025-03-12 10:15:00,2025-03-13 09:15:00,LONG,24036.97,23782.22,-0.0116,0,OOS
1302,1307,2025-03-13 09:15:00,2025-03-13 14:15:00,LONG,23782.22,23567.05,-0.01005,0,OOS
1307,1312,2025-03-13 14:15:00,2025-03-14 13:15:00,LONG,23567.05,24104.55,0.02181,1,OOS
1322,1327,2025-03-18 11:15:00,2025-03-19 10:15:00,LONG,23542.64,23449.89,-0.00494,0,OOS
1363,1368,2025-03-27 10:15:00,2025-03-28 09:15:00,LONG,23766.19,23401.99,-0.01632,0,OOS
1446,1451,2025-04-16 09:15:00,2025-04-16 14:15:00,LONG,23609.28,22969.71,-0.02809,0,OOS
1451,1456,2025-04-16 14:15:00,2025-04-17 13:15:00,LONG,22969.71,23002.49,0.00043,1,OOS
