entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
175,180,2025-02-17 09:15:00,2025-02-17 10:30:00,LONG,22980.61,22967.48,-0.00157,0,IS
275,280,2025-02-21 09:15:00,2025-02-21 10:30:00,LONG,22986.44,22943.07,-0.00289,0,IS
280,285,2025-02-21 10:30:00,2025-02-21 11:45:00,LONG,22943.07,22899.88,-0.00288,0,IS
285,290,2025-02-21 11:45:00,2025-02-21 13:00:00,LONG,22899.88,22854.64,-0.00298,0,IS
294,299,2025-02-21 14:00:00,2025-02-21 15:15:00,LONG,22819.47,22774.94,-0.00295,0,IS
299,304,2025-02-21 15:15:00,2025-02-24 10:15:00,LONG,22774.94,22648.89,-0.00653,0,IS
325,330,2025-02-25 09:15:00,2025-02-25 10:30:00,LONG,22545.72,22564.51,-0.00017,0,IS
400,405,2025-02-28 09:15:00,2025-02-28 10:30:00,LONG,23112.26,23149.59,0.00062,1,IS
485,490,2025-03-05 11:45:00,2025-03-05 13:00:00,LONG,23478.11,23445.36,-0.00239,0,IS
490,495,2025-03-05 13:00:00,2025-03-05 14:15:00,LONG,23445.36,23425.93,-0.00183,0,IS
497,502,2025-03-05 14:45:00,2025-03-06 09:45:00,LONG,23407.26,23481.57,0.00217,1,IS
769,774,2025-03-20 14:00:00,2025-03-20 15:15:00,LONG,23981.59,23968.3,-0.00155,0,IS
774,779,2025-03-20 15:15:00,2025-03-21 10:15:00,LONG,23968.3,24248.32,0.01068,1,IS
1013,1018,2025-04-03 12:30:00,2025-04-03 13:45:00,LONG,24070.76,24002.83,-0.00382,0,OOS
1018,1023,2025-04-03 13:45:00,2025-04-03 15:00:00,LONG,24002.83,24004.17,-0.00094,0,OOS
1230,1235,2025-04-16 10:30:00,2025-04-16 11:45:00,LONG,23552.29,23397.56,-0.00757,0,OOS
1235,1240,2025-04-16 11:45:00,2025-04-16 13:00:00,LONG,23397.56,23243.85,-0.00757,0,OOS
1240,1245,2025-04-16 13:00:00,2025-04-16 14:15:00,LONG,23243.85,23091.15,-0.00757,0,OOS
1329,1334,2025-04-22 10:15:00,2025-04-22 11:30:00,LONG,23250.39,23229.82,-0.00188,0,OOS
