entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
30,35,2025-02-06 11:45:00,2025-02-06 12:10:00,SHORT,22100.01,22100.79,-0.00104,0,IS
50,55,2025-02-06 13:25:00,2025-02-06 13:50:00,SHORT,22126.04,22102.69,6e-05,1,IS
92,97,2025-02-07 10:40:00,2025-02-07 11:05:00,SHORT,22175.95,22163.31,-0.00043,0,IS
102,107,2025-02-07 11:30:00,2025-02-07 11:55:00,SHORT,22240.41,22203.31,0.00067,1,IS
164,169,2025-02-10 10:25:00,2025-02-10 10:50:00,SHORT,22397.61,22388.61,-0.0006,0,IS
176,181,2025-02-10 11:25:00,2025-02-10 11:50:00,SHORT,22520.19,22602.86,-0.00467,0,IS
181,186,2025-02-10 11:50:00,2025-02-10 12:15:00,SHORT,22602.86,22603.75,-0.00104,0,IS
189,194,2025-02-10 12:30:00,2025-02-10 12:55:00,SHORT,22771.19,22748.04,2e-05,1,IS
199,204,2025-02-10 13:20:00,2025-02-10 13:45:00,SHORT,22911.49,22961.2,-0.00317,0,IS
207,212,2025-02-10 14:00:00,2025-02-10 14:25:00,SHORT,23066.29,23199.42,-0.00677,0,IS
212,217,2025-02-10 14:25:00,2025-02-10 14:50:00,SHORT,23199.42,23247.54,-0.00307,0,IS
247,252,2025-02-11 11:05:00,2025-02-11 11:30:00,SHORT,23391.59,23474.93,-0.00456,0,IS
264,269,2025-02-11 12:30:00,2025-02-11 12:55:00,SHORT,23660.31,23749.23,-0.00476,0,IS
270,275,2025-02-11 13:00:00,2025-02-11 13:25:00,SHORT,23784.8,23935.9,-0.00735,0,IS
275,280,2025-02-11 13:25:00,2025-02-11 13:50:00,SHORT,23935.9,23931.31,-0.00081,0,IS
292,297,2025-02-11 14:50:00,2025-02-11 15:15:00,SHORT,24033.76,24026.42,-0.00069,0,IS
600,605,2025-02-18 09:15:00,2025-02-18 09:40:00,SHORT,23101.71,23095.41,-0.00073,0,IS
722,727,2025-02-19 13:10:00,2025-02-19 13:35:00,SHORT,23042.09,23047.28,-0.00123,0,IS
732,737,2025-02-19 14:00:00,2025-02-19 14:25:00,SHORT,23061.87,23056.39,-0.00076,0,IS
743,748,2025-02-19 14:55:00,2025-02-19 15:20:00,SHORT,23074.56,23094.23,-0.00185,0,IS
748,753,2025-02-19 15:20:00,2025-02-20 09:30:00,SHORT,23094.23,23080.84,-0.00042,0,IS
1008,1013,2025-02-25 12:00:00,2025-02-25 12:25:00,SHORT,22611.11,22624.96,-0.00161,0,IS
1013,1018,2025-02-25 12:25:00,2025-02-25 12:50:00,SHORT,22624.96,22631.7,-0.0013,0,IS
1030,1035,2025-02-25 13:50:00,2025-02-25 14:15:00,SHORT,22658.48,22660.38,-0.00108,0,IS
1045,1050,2025-02-25 15:05:00,2025-02-26 09:15:00,SHORT,22671.6,22700.01,-0.00225,0,IS
1050,1055,2025-02-26 09:15:00,2025-02-26 09:40:00,SHORT,22700.01,22728.34,-0.00225,0,IS
1055,1060,2025-02-26 09:40:00,2025-02-26 10:05:00,SHORT,22728.34,22836.88,-0.00578,0,IS
1060,1065,2025-02-26 10:05:00,2025-02-26 10:30:00,SHORT,22836.88,22927.83,-0.00498,0,IS
1068,1073,2025-02-26 10:45:00,2025-02-26 11:10:00,SHORT,22996.19,23035.8,-0.00272,0,IS
1075,1080,2025-02-26 11:20:00,2025-02-26 11:45:00,SHORT,23098.67,23148.18,-0.00314,0,IS
1247,1252,2025-02-28 13:10:00,2025-02-28 13:35:00,SHORT,23335.37,23312.22,-1e-05,0,IS
1257,1262,2025-02-28 14:00:00,2025-02-28 14:25:00,SHORT,23386.92,23392.7,-0.00125,0,IS
1263,1268,2025-02-28 14:30:00,2025-02-28 14:55:00,SHORT,23415.76,23538.04,-0.00622,0,IS
1268,1273,2025-02-28 14:55:00,2025-02-28 15:20:00,SHORT,23538.04,23508.89,0.00024,1,IS
1345,1350,2025-03-03 15:05:00,2025-03-04 09:15:00,SHORT,23522.22,23476.7,0.00094,1,IS
1394,1399,2025-03-04 12:55:00,2025-03-04 13:20:00,SHORT,23516.15,23518.69,-0.00111,0,IS
1408,1413,2025-03-04 14:05:00,2025-03-04 14:30:00,SHORT,23525.89,23534.82,-0.00138,0,IS
1425,1430,2025-03-05 09:15:00,2025-03-05 09:40:00,SHORT,23554.74,23531.96,-3e-05,0,IS
1507,1512,2025-03-06 09:50:00,2025-03-06 10:15:00,SHORT,23519.93,23529.82,-0.00142,0,IS
1513,1518,2025-03-06 10:20:00,2025-03-06 10:45:00,SHORT,23566.03,23603.71,-0.0026,0,IS
1522,1527,2025-03-06 11:05:00,2025-03-06 11:30:00,SHORT,23691.13,23722.36,-0.00232,0,IS
1531,1536,2025-03-06 11:50:00,2025-03-06 12:15:00,SHORT,23812.56,23866.72,-0.00327,0,IS
1562,1567,2025-03-06 14:25:00,2025-03-06 14:50:00,SHORT,24040.34,24127.16,-0.00461,0,IS
1567,1572,2025-03-06 14:50:00,2025-03-06 15:15:00,SHORT,24127.16,24219.17,-0.00481,0,IS
1572,1577,2025-03-06 15:15:00,2025-03-07 09:25:00,SHORT,24219.17,24295.34,-0.00414,0,IS
1650,1655,2025-03-10 09:15:00,2025-03-10 09:40:00,SHORT,24203.79,24173.15,0.00027,1,IS
1765,1770,2025-03-11 12:35:00,2025-03-11 13:00:00,SHORT,24221.64,24228.86,-0.0013,0,IS
1950,1955,2025-03-14 09:15:00,2025-03-14 09:40:00,SHORT,23883.27,24002.3,-0.00598,0,IS
1955,1960,2025-03-14 09:40:00,2025-03-14 10:05:00,SHORT,24002.3,24001.34,-0.00096,0,IS
1976,1981,2025-03-14 11:25:00,2025-03-14 11:50:00,SHORT,24125.24,24073.94,0.00113,1,IS
2085,2090,2025-03-17 14:15:00,2025-03-17 14:40:00,SHORT,24109.72,24105.09,-0.00081,0,IS
2204,2209,2025-03-19 11:40:00,2025-03-19 12:05:00,SHORT,23399.96,23481.99,-0.00451,0,IS
2209,2214,2025-03-19 12:05:00,2025-03-19 12:30:00,SHORT,23481.99,23525.67,-0.00286,0,IS
2229,2234,2025-03-19 13:45:00,2025-03-19 14:10:00,SHORT,23587.13,23618.78,-0.00234,0,IS
2235,2240,2025-03-19 14:15:00,2025-03-19 14:40:00,SHORT,23636.16,23781.49,-0.00715,0,IS
2240,2245,2025-03-19 14:40:00,2025-03-19 15:05:00,SHORT,23781.49,23845.45,-0.00369,0,IS
2247,2252,2025-03-19 15:15:00,2025-03-20 09:25:00,SHORT,23927.45,24016.16,-0.00471,0,IS
2282,2287,2025-03-20 11:55:00,2025-03-20 12:20:00,SHORT,24018.1,24007.5,-0.00056,0,IS
2368,2373,2025-03-21 12:50:00,2025-03-21 13:15:00,SHORT,24154.11,24297.45,-0.00693,0,IS
2373,2378,2025-03-21 13:15:00,2025-03-21 13:40:00,SHORT,24297.45,24419.86,-0.00604,0,IS
2381,2386,2025-03-21 13:55:00,2025-03-21 14:20:00,SHORT,24556.78,24665.78,-0.00544,0,IS
2386,2391,2025-03-21 14:20:00,2025-03-21 14:45:00,SHORT,24665.78,24638.5,0.00011,1,IS
2514,2519,2025-03-25 12:30:00,2025-03-25 12:55:00,SHORT,24084.17,24056.96,0.00013,1,IS
2533,2538,2025-03-25 14:05:00,2025-03-25 14:30:00,SHORT,24139.11,24116.87,-8e-05,0,IS
2542,2547,2025-03-25 14:50:00,2025-03-25 15:15:00,SHORT,24182.24,24179.61,-0.00089,0,IS
2550,2555,2025-03-26 09:15:00,2025-03-26 09:40:00,SHORT,24274.99,24264.09,-0.00055,0,IS
2721,2726,2025-03-28 11:00:00,2025-03-28 11:25:00,SHORT,23453.09,23467.67,-0.00162,0,IS
2728,2733,2025-03-28 11:35:00,2025-03-28 12:00:00,SHORT,23518.95,23492.37,0.00013,1,IS
2746,2751,2025-03-28 13:05:00,2025-03-28 13:30:00,SHORT,23550.34,23533.6,-0.00029,0,IS
2757,2762,2025-03-28 14:00:00,2025-03-28 14:25:00,SHORT,23599.82,23631.63,-0.00235,0,IS
2762,2767,2025-03-28 14:25:00,2025-03-28 14:50:00,SHORT,23631.63,23649.26,-0.00175,0,IS
2799,2804,2025-03-31 11:15:00,2025-03-31 11:40:00,SHORT,23750.43,23816.89,-0.0038,0,IS
2817,2822,2025-03-31 12:45:00,2025-03-31 13:10:00,SHORT,23924.21,23942.4,-0.00176,0,IS
2848,2853,2025-03-31 15:20:00,2025-04-01 09:30:00,SHORT,24026.12,23882.24,0.00499,1,IS
2910,2915,2025-04-01 14:15:00,2025-04-01 14:40:00,SHORT,23948.27,23952.96,-0.0012,0,IS
2918,2923,2025-04-01 14:55:00,2025-04-01 15:20:00,SHORT,23994.05,24045.21,-0.00313,0,IS
2923,2928,2025-04-01 15:20:00,2025-04-02 09:30:00,SHORT,24045.21,23912.56,0.00452,1,IS
2959,2964,2025-04-02 12:05:00,2025-04-02 12:30:00,SHORT,24014.39,24054.81,-0.00268,0,OOS
2965,2970,2025-04-02 12:35:00,2025-04-02 13:00:00,SHORT,24055.9,24078.46,-0.00194,0,OOS
2978,2983,2025-04-02 13:40:00,2025-04-02 14:05:00,SHORT,24098.3,24109.56,-0.00147,0,OOS
2986,2991,2025-04-02 14:20:00,2025-04-02 14:45:00,SHORT,24124.25,24165.46,-0.00271,0,OOS
2991,2996,2025-04-02 14:45:00,2025-04-02 15:10:00,SHORT,24165.46,24215.12,-0.00305,0,OOS
2996,3001,2025-04-02 15:10:00,2025-04-03 09:20:00,SHORT,24215.12,24062.44,0.00531,1,OOS
3271,3276,2025-04-08 13:05:00,2025-04-08 13:30:00,SHORT,23812.14,23867.46,-0.00332,0,OOS
3276,3281,2025-04-08 13:30:00,2025-04-08 13:55:00,SHORT,23867.46,23891.58,-0.00201,0,OOS
3281,3286,2025-04-08 13:55:00,2025-04-08 14:20:00,SHORT,23891.58,23930.83,-0.00264,0,OOS
3286,3291,2025-04-08 14:20:00,2025-04-08 14:45:00,SHORT,23930.83,23958.84,-0.00217,0,OOS
3300,3305,2025-04-09 09:15:00,2025-04-09 09:40:00,SHORT,24045.66,24030.5,-0.00037,0,OOS
3509,3514,2025-04-11 14:10:00,2025-04-11 14:35:00,SHORT,23885.61,23881.87,-0.00084,0,OOS
3518,3523,2025-04-11 14:55:00,2025-04-11 15:20:00,SHORT,23894.53,23908.37,-0.00158,0,OOS
3569,3574,2025-04-14 12:55:00,2025-04-14 13:20:00,SHORT,23957.21,23977.28,-0.00184,0,OOS
3575,3580,2025-04-14 13:25:00,2025-04-14 13:50:00,SHORT,24022.2,24139.86,-0.0059,0,OOS
3580,3585,2025-04-14 13:50:00,2025-04-14 14:15:00,SHORT,24139.86,24159.64,-0.00182,0,OOS
3783,3788,2025-04-17 12:00:00,2025-04-17 12:25:00,SHORT,23014.05,23012.11,-0.00092,0,OOS
3809,3814,2025-04-17 14:10:00,2025-04-17 14:35:00,SHORT,23080.58,23097.18,-0.00172,0,OOS
3817,3822,2025-04-17 14:50:00,2025-04-17 15:15:00,SHORT,23143.95,23138.56,-0.00077,0,OOS
3825,3830,2025-04-18 09:15:00,2025-04-18 09:40:00,SHORT,23273.9,23296.0,-0.00195,0,OOS
3865,3870,2025-04-18 12:35:00,2025-04-18 13:00:00,SHORT,23339.65,23384.61,-0.00293,0,OOS
3870,3875,2025-04-18 13:00:00,2025-04-18 13:25:00,SHORT,23384.61,23447.2,-0.00368,0,OOS
3875,3880,2025-04-18 13:25:00,2025-04-18 13:50:00,SHORT,23447.2,23417.08,0.00028,1,OOS
4050,4055,2025-04-23 09:15:00,2025-04-23 09:40:00,SHORT,23300.16,23300.38,-0.00101,0,OOS
4132,4137,2025-04-24 09:50:00,2025-04-24 10:15:00,SHORT,23398.21,23430.36,-0.00237,0,OOS
4138,4143,2025-04-24 10:20:00,2025-04-24 10:45:00,SHORT,23478.89,23473.69,-0.00078,0,OOS
4148,4153,2025-04-24 11:10:00,2025-04-24 11:35:00,SHORT,23527.85,23577.98,-0.00313,0,OOS
4153,4158,2025-04-24 11:35:00,2025-04-24 12:00:00,SHORT,23577.98,23602.25,-0.00203,0,OOS
4174,4179,2025-04-24 13:20:00,2025-04-24 13:45:00,SHORT,23666.98,23699.29,-0.00237,0,OOS
4185,4190,2025-04-24 14:15:00,2025-04-24 14:40:00,SHORT,23740.02,23756.31,-0.00169,0,OOS
4199,4204,2025-04-24 15:25:00,2025-04-25 09:35:00,SHORT,23790.98,23934.23,-0.00702,0,OOS
4286,4291,2025-04-28 10:10:00,2025-04-28 10:35:00,SHORT,23748.32,23774.35,-0.0021,0,OOS
