entry_date,exit_date,direction,entry_price,exit_price,net_ret_pct,win
2021-09-30,2021-10-07,LONG,41500.0,38450.4,-7.498,0
2021-10-08,2021-10-15,LONG,38031.0,39582.9,3.931,1
2021-10-26,2021-11-02,LONG,36318.6,38133.8,4.848,1
2021-11-26,2021-12-03,LONG,36813.3,36940.4,0.195,1
2021-12-10,2021-12-17,LONG,35274.4,39019.6,10.467,1
2022-03-22,2022-03-29,LONG,35866.9,36333.2,1.15,1
2022-04-13,2022-04-20,LONG,35152.4,33208.3,-5.68,0
2022-06-02,2022-06-09,LONG,32118.8,33006.0,2.612,1
2022-06-20,2022-06-27,LONG,32030.9,35265.0,9.947,1
2022-08-22,2022-08-29,LONG,36064.9,37012.3,2.477,1
2022-09-06,2022-09-13,LONG,34276.6,35447.6,3.266,1
2022-11-14,2022-11-21,LONG,40799.1,41788.2,2.274,1
2023-01-10,2023-01-17,LONG,39313.7,37757.2,-4.109,0
2023-05-29,2023-06-05,LONG,42166.5,45016.8,6.61,1
2023-07-28,2023-08-04,LONG,42766.8,44408.7,3.689,1
2023-09-26,2023-10-03,LONG,43411.1,42576.9,-2.072,0
2023-10-04,2023-10-11,LONG,42972.6,44367.4,3.096,1
2023-12-14,2023-12-21,LONG,46635.3,44603.5,-4.507,0
2024-01-26,2024-02-02,LONG,46662.8,46067.5,-1.426,0
2024-03-12,2024-03-19,LONG,43713.5,46078.6,5.26,1
2024-05-24,2024-05-31,LONG,47891.6,51500.0,7.385,1
2024-09-23,2024-09-30,LONG,51183.5,51400.0,0.273,1
2024-10-04,2024-10-11,LONG,50530.2,51362.4,1.497,1
2024-10-29,2024-11-05,LONG,50035.4,54077.7,7.929,1
2024-12-25,2025-01-01,LONG,49983.2,50700.0,1.284,1
2025-01-10,2025-01-17,LONG,48540.2,48713.0,0.206,1
