entry_date,exit_date,direction,entry_price,exit_price,net_ret_pct,win
2021-10-07,2021-10-18,LONG,38450.4,39222.8,1.859,1
2021-10-26,2021-11-04,LONG,36318.6,37807.1,3.948,1
2021-11-26,2021-12-07,LONG,36813.3,37322.3,1.233,1
2022-03-02,2022-03-11,LONG,36513.1,38882.3,6.339,1
2022-04-14,2022-04-25,LONG,34180.8,34427.7,0.572,1
2022-05-30,2022-06-08,LONG,32650.5,33247.5,1.678,1
2022-06-20,2022-06-29,LONG,32030.9,35747.3,11.453,1
2022-08-22,2022-08-31,LONG,36064.9,36600.0,1.334,1
2022-09-06,2022-09-15,LONG,34276.6,35890.8,4.559,1
2023-01-10,2023-01-19,LONG,39313.7,38972.2,-1.019,0
2023-07-27,2023-08-07,LONG,40953.8,44858.7,9.385,1
2023-08-21,2023-08-30,LONG,42246.5,44823.2,5.949,1
2023-09-26,2023-10-05,LONG,43411.1,43019.7,-1.052,0
2023-12-13,2023-12-22,LONG,47564.7,43183.6,-9.361,0
2024-03-11,2024-03-20,LONG,44839.6,46117.2,2.699,1
2024-05-24,2024-06-04,LONG,47891.6,51087.4,6.523,1
2024-06-12,2024-06-21,LONG,47153.3,50391.5,6.717,1
2024-10-29,2024-11-07,LONG,50035.4,53781.4,7.337,1
2025-01-10,2025-01-21,LONG,48540.2,48792.3,0.369,1
2025-02-12,2025-02-21,LONG,46490.2,49321.3,5.94,1
