entry_date,exit_date,direction,entry_price,exit_price,net_ret_pct,win
2021-09-30,2021-10-11,LONG,41500.0,38475.8,-7.437,0
2021-10-26,2021-11-04,LONG,36318.6,37807.1,3.948,1
2021-11-26,2021-12-07,LONG,36813.3,37322.3,1.233,1
2021-12-10,2021-12-21,LONG,35274.4,39433.6,11.641,1
2022-01-18,2022-01-27,LONG,37434.7,36613.3,-2.344,0
2022-08-22,2022-08-31,LONG,36064.9,36600.0,1.334,1
2022-09-06,2022-09-15,LONG,34276.6,35890.8,4.559,1
2022-11-14,2022-11-23,LONG,40799.1,44160.7,8.089,1
2022-12-27,2023-01-05,LONG,40058.7,40569.0,1.124,1
2023-01-10,2023-01-19,LONG,39313.7,38972.2,-1.019,0
2023-02-15,2023-02-24,LONG,37343.8,39040.6,4.394,1
2023-04-13,2023-04-24,LONG,41077.3,42628.4,3.626,1
2023-07-27,2023-08-07,LONG,40953.8,44858.7,9.385,1
2023-09-26,2023-10-05,LONG,43411.1,43019.7,-1.052,0
2023-12-21,2024-01-01,LONG,44603.5,48500.0,8.586,1
2024-01-31,2024-02-09,LONG,46500.0,48508.7,4.17,1
2024-03-11,2024-03-20,LONG,44839.6,46117.2,2.699,1
2024-05-24,2024-06-04,LONG,47891.6,51087.4,6.523,1
2024-06-12,2024-06-21,LONG,47153.3,50391.5,6.717,1
2024-10-17,2024-10-28,LONG,50118.7,50933.4,1.476,1
2024-12-18,2024-12-27,LONG,52109.0,47761.2,-8.494,0
2025-02-12,2025-02-21,LONG,46490.2,49321.3,5.94,1
