entry_date,exit_date,direction,entry_price,exit_price,net_ret_pct,win
2022-02-24,2022-03-03,SHORT,38992.8,35968.3,7.607,1
2022-03-15,2022-03-22,SHORT,39312.5,35866.9,8.615,1
2022-07-27,2022-08-03,SHORT,39287.6,38423.3,2.05,1
2022-09-20,2022-09-27,SHORT,38346.8,40184.3,-4.942,0
2022-09-28,2022-10-05,SHORT,40952.6,41869.1,-2.388,0
2022-10-12,2022-10-19,SHORT,43329.2,40879.5,5.504,1
2022-10-28,2022-11-04,SHORT,43523.4,41739.5,3.949,1
2022-11-22,2022-11-29,SHORT,44280.6,42715.1,3.385,1
2023-03-09,2023-03-16,SHORT,41472.0,44789.1,-8.148,0
2023-03-29,2023-04-05,SHORT,43934.0,41688.7,4.961,1
2023-04-26,2023-05-03,SHORT,44666.2,42998.1,3.585,1
2023-06-08,2023-06-15,SHORT,46858.5,46611.4,0.377,1
2023-07-12,2023-07-19,SHORT,47641.9,45278.5,4.811,1
2023-10-16,2023-10-23,SHORT,46965.5,46763.5,0.28,1
2023-11-14,2023-11-21,SHORT,49120.9,49124.9,-0.158,0
2023-11-23,2023-11-30,SHORT,51902.4,48800.0,5.827,1
2024-01-11,2024-01-18,SHORT,51880.6,50425.6,2.655,1
2024-02-22,2024-02-29,SHORT,53307.4,48100.0,9.619,1
2024-07-25,2024-08-01,SHORT,52350.9,51300.0,1.857,1
2024-08-07,2024-08-14,SHORT,53317.1,52734.1,0.943,1
2024-11-05,2024-11-12,SHORT,54077.7,54786.1,-1.46,0
2025-04-02,2025-04-09,SHORT,53855.8,57973.3,-7.795,0
2025-04-10,2025-04-17,SHORT,58047.7,60015.5,-3.54,0
