entry,exit,entry_px,exit_px,direction,units,gross_pnl,cost,net_pnl,equity
2021-10-19,2021-10-22,16851.21,17118.74,LONG,5,1337.65,197.2,1140.45,101140.45
2021-10-28,2021-11-02,16693.45,16981.51,LONG,6,1728.36,198.91,1529.45,102669.9
2021-12-08,2021-12-13,16581.71,16688.71,LONG,6,642.0,201.2,440.8,103110.69
2022-01-26,2022-01-31,16494.61,16793.0,LONG,6,1790.34,201.87,1588.47,104699.17
2022-03-18,2022-03-23,16585.53,16911.35,LONG,6,1954.92,204.25,1750.67,106449.84
2022-05-03,2022-05-06,16212.74,15821.74,LONG,6,-2346.0,206.87,-2552.87,103896.96
2022-05-09,2022-05-12,15364.26,15326.01,LONG,6,-229.5,203.05,-432.55,103464.42
2022-07-20,2022-07-25,16130.61,16810.71,LONG,6,4080.6,202.4,3878.2,107342.62
2022-09-02,2022-09-07,16481.62,16911.05,LONG,6,2576.58,208.21,2368.37,109710.99
2022-10-10,2022-10-13,17068.19,17560.1,LONG,6,2951.46,211.77,2739.69,112450.68
2022-11-09,2022-11-14,17190.31,17516.79,LONG,6,1958.88,215.88,1743.0,114193.69
2023-01-17,2023-01-20,17240.91,17272.46,LONG,6,189.3,218.49,-29.19,114164.5
2023-04-06,2023-04-11,17474.68,18210.21,LONG,6,4413.18,218.45,4194.73,118359.23
2023-09-11,2023-09-14,18498.24,18203.49,LONG,6,-1768.5,224.74,-1993.24,116365.99
2024-02-02,2024-02-07,21953.74,22283.95,LONG,5,1651.05,221.75,1429.3,117795.29
2024-03-06,2024-03-11,20836.68,20827.67,LONG,5,-45.05,223.89,-268.94,117526.35
2024-07-08,2024-07-11,23252.78,23417.37,LONG,5,822.95,223.49,599.46,118125.81
2024-07-16,2024-07-19,22590.41,23817.5,LONG,5,6135.45,224.39,5911.06,124036.87
2024-09-19,2024-09-24,24414.48,24512.22,LONG,5,488.7,233.26,255.44,124292.31
2024-09-25,2024-09-30,23298.32,23911.0,LONG,5,3063.4,233.64,2829.76,127122.08
2024-10-11,2024-10-16,23184.74,22604.74,LONG,5,-2900.0,237.88,-3137.88,123984.19
