entry,exit,entry_px,exit_px,direction,units,gross_pnl,cost,net_pnl,equity
2021-10-19,2021-10-26,16851.21,17260.01,LONG,5,2044.0,197.2,1846.8,101846.8
2021-12-07,2021-12-14,16734.77,16381.71,LONG,6,-2118.36,199.97,-2318.33,99528.47
2022-01-24,2022-01-31,16905.99,16793.0,LONG,5,-564.95,196.49,-761.44,98767.03
2022-02-17,2022-02-24,16194.13,16544.33,LONG,6,2101.2,195.35,1905.85,100672.88
2022-07-20,2022-07-27,16130.61,17286.96,LONG,6,6938.1,198.21,6739.89,107412.77
2022-09-05,2022-09-12,16531.59,17556.48,LONG,6,6149.34,208.32,5941.02,113353.79
2022-10-07,2022-10-14,17147.62,17475.19,LONG,6,1965.42,217.23,1748.19,115101.98
2023-01-18,2023-01-25,17276.8,17913.11,LONG,6,3817.86,219.85,3598.01,118699.98
2023-02-22,2023-03-01,16754.54,17360.0,LONG,7,4238.22,225.25,4012.97,122712.95
2023-09-04,2023-09-11,19256.97,18498.24,LONG,6,-4552.38,231.27,-4783.65,117929.31
2023-09-12,2023-09-19,18435.13,18356.14,LONG,6,-473.94,224.09,-698.03,117231.27
2024-03-05,2024-03-12,21424.4,21450.97,LONG,5,132.85,223.05,-90.2,117141.07
2024-05-03,2024-05-10,22674.76,23021.48,LONG,5,1733.6,222.91,1510.69,118651.76
2024-07-09,2024-07-16,23314.51,22590.41,LONG,5,-3620.5,225.18,-3845.68,114806.08
2024-09-26,2024-10-03,23558.64,23729.99,LONG,4,685.4,219.41,465.99,115272.08
2024-10-16,2024-10-23,22604.74,22963.86,LONG,5,1795.6,220.11,1575.49,116847.57
2025-02-04,2025-02-11,22047.78,24022.29,LONG,5,9872.55,222.47,9650.08,126497.65
2025-03-27,2025-04-03,23029.1,24114.63,LONG,5,5427.65,236.95,5190.7,131688.35
2025-04-17,2025-04-24,23152.84,23790.98,LONG,5,3190.7,244.73,2945.97,134634.32
