date,composite_li,nifty_close
2024-05-14,0.8003415970915311,22837.24
2024-05-15,0.7405884017817784,22855.86
2024-05-16,1.1156737079393124,22577.29
2024-05-17,1.5742381603163405,22165.52
2024-05-20,1.0820464592717427,22455.79
2024-05-21,-1.0390357281860754,23586.87
2024-05-22,-0.48811665275657345,23221.04
2024-05-23,-0.203268841323501,23113.19
2024-05-24,-1.1473761129565971,23621.08
2024-05-27,-0.7748695594498465,23328.55
2024-05-28,-0.6578431904358772,23297.46
2024-05-29,-0.5419437274806339,23231.13
2024-05-30,-1.128611724148538,23576.88
2024-05-31,-1.2781280966087865,23686.0
2024-06-03,-1.1873724710127267,23686.0
2024-06-04,-1.4765401181192943,24157.82
2024-06-05,-1.661588943113918,24522.99
2024-06-06,-1.461068223482012,24525.51
2024-06-07,-1.1328218936315846,24394.18
2024-06-10,-1.2618208485975058,24593.83
2024-06-11,-0.9004943092639852,24351.37
2024-06-12,-0.7112691605697452,24287.49
2024-06-13,0.15590875213933728,23856.36
2024-06-14,0.35320444484555086,23830.73
2024-06-17,-1.2125398424172693,24740.81
2024-06-18,-1.061729049168557,24752.93
2024-06-19,-0.7293991471679485,24633.25
2024-06-20,-1.0910304167515514,24934.35
2024-06-21,-1.2071524821192547,25087.08
2024-06-24,-0.4413365541916733,24674.43
2024-06-25,-0.9759556919182165,25013.22
2024-06-26,-0.8344123348260427,24968.37
2024-06-27,-0.4303278010303306,24741.22
2024-06-28,-0.7216544198815131,24951.0
2024-07-01,-0.5630308222409899,24951.0
2024-07-02,1.5105862938386685,23823.55
2024-07-03,0.9315971467714185,24295.22
2024-07-04,1.0959108665868054,24156.5
2024-07-05,1.8188583317095348,23370.79
2024-07-08,1.834082332117837,23252.78
2024-07-09,1.7600105636323806,23314.51
2024-07-10,1.5177068037648596,23482.29
2024-07-11,1.5146904677431368,23417.37
2024-07-12,1.5267543692496583,23392.49
2024-07-15,1.3099926992253021,23580.02
2024-07-16,1.8525908444009955,22590.41
2024-07-17,1.7844657521860403,22711.86
2024-07-18,1.2616844946033443,23322.22
2024-07-19,0.3596747311957423,23817.5
2024-07-22,0.10632034582490094,23940.8
2024-07-23,0.06736164176670205,23943.25
2024-07-24,-0.8657927945962102,24458.41
2024-07-25,-1.1584916154264802,24738.39
2024-07-26,-1.0853719268050133,24671.49
2024-07-29,-0.3560623632164146,24155.83
2024-07-30,-0.8439145360653042,24409.44
2024-07-31,-1.5057980327350429,25235.0
2024-08-01,-1.4270678342426355,25235.0
2024-08-02,-1.4091059005224469,25641.92
2024-08-05,-1.4220147479293663,25800.69
2024-08-06,-1.2882122300901346,25679.18
2024-08-07,-1.2015033782438194,25755.48
2024-08-08,-1.2890059749231497,26015.06
2024-08-09,-1.4144368360520063,26374.26
2024-08-12,-1.1060230698117934,25975.45
2024-08-13,-0.270262286009932,25407.97
2024-08-14,-0.22783026365418638,25508.75
2024-08-15,0.030029360744410663,25385.82
2024-08-16,0.8076380688685599,24874.41
2024-08-19,0.9832507458826948,24835.91
2024-08-20,1.2458419596839936,24648.71
2024-08-21,0.8121740780402602,24979.56
2024-08-22,0.7740168302414174,25037.42
2024-08-23,0.41424599805756585,25309.41
2024-08-26,-0.7261718922461512,25965.11
2024-08-27,-1.4651150485226156,26809.93
2024-08-28,-0.6986905749225255,26075.71
2024-08-29,-0.5705449271224501,26048.05
2024-08-30,-0.7743929128205321,26178.0
2024-09-02,-0.7336900272731538,26178.0
2024-09-03,-0.8287432390794973,26278.41
2024-09-04,-0.9179539199864505,26388.27
2024-09-05,-0.03490448782838608,25915.56
2024-09-06,0.6133278203094702,25521.83
2024-09-09,0.884002065171289,25381.82
2024-09-10,0.9596723328271327,25407.21
2024-09-11,-0.05947364533849677,25959.44
2024-09-12,-0.03825846259163911,25960.18
2024-09-13,0.34225685806751555,25784.81
2024-09-16,0.8358308325362248,25433.36
2024-09-17,1.2288822606172205,25165.71
2024-09-18,1.5870048995421975,24886.66
2024-09-19,1.9034735649700667,24414.48
2024-09-20,1.8521482698036016,24352.45
2024-09-23,1.4830509795508198,24691.24
2024-09-24,1.6029306242617234,24512.22
2024-09-25,2.0837651056837543,23298.32
2024-09-26,1.9441588753905241,23558.64
2024-09-27,1.9009050707692783,23525.32
2024-09-30,1.651029224407828,23911.0
2024-10-01,1.5829385815737276,23911.0
2024-10-02,1.6342946954727449,23771.59
2024-10-03,1.584922019775956,23729.99
2024-10-04,1.420874902039914,23840.31
2024-10-07,1.3518804429508184,23882.89
2024-10-08,0.9108664544425306,24091.04
2024-10-09,-0.298652795234547,24698.03
2024-10-10,0.36247262806128516,24358.84
